id_tutor,nombre,apellido,sexo,correo_electronico,telefono,fecha_nacimiento,ciudad,presentacion,nivel_estudios,experiencia,profesion,id_asignatura,nombre_asignatura
0987654675,Jose,Castro,Masculino,jcastro@gmail.com,0765345273,1996-30-09,Guayaquil,Hola a todos me gusta enseñar desde que el entre a la universidad,Tercer Nivel,4,Estudiante de Ingeniería ,3000,Química
0954368754,Edie,Pincay,Masculino,erpincays@outlook.com,0643212321,1980-20-02,Guayaquil,Saludos es un placer poder ayudarle a mejorar sus habilidades,Tercer Nivel,5,Estudiante de Ingeniería ,4000,Lengua y Literatura
0456654321,Jenny,Jimenez,Femenino,jennyjf@outlook.com,0543265439,1989-10-11,Guayaquil,Me gusta enseñar desde que el entre a la universidad,Tercer Nivel,6,Estudiante de Ingeniería ,5000,Biología
0885566886,emilio,leon,Masculino,eml@example.com,0999999988,1988-01-14,Guayaquil,Es un privilegio poder enseñarte la materia,Tercer Nivel,4,Estudiante de Ingeniería ,2000,Física
0225563696,Mario,Hernandez,Masculino,khern@example.com,0922222233,1988-01-01,Guayaquil,Es un privilegio poder enseñar esta materia,Tercer Nivel,3,Estudiante de Ingeniería ,2000,Física
0225448542,Boris,Sacoto,Masculino,dcoto@example.com,0977777775,1989-12-20,Guayaquil,Enseñar esta materia me apasiona,Tercer Nivel,2,Estudiante de Ingeniería ,2000,Física
0758236584,Alexis,Mendoza,Masculino,almen@example.com,0944564444,1989-10-31,Guayaquil,Es un privilegio poder enseñar esta materia me apasiona mucho,Tercer Nivel,5,Ingeniería en Computación,1000,Matemáticas
0125365896,David,Espinosa,Masculino,despin@example.com,0930000005,1990-30-12,Guayaquil,Es un honor poder enseñar esta materia,Tercer Nivel,6,Ingeniería en Computación,1000,Matemáticas
0543564225,Carolina,Mererlo,Femenino,ecnms@hotmail.com,0535431753,1997-06-14,Cuenca, Mi objetivo es ayudarte a despejar tus dudas,Tercer Nivel,4,Estudiante de Ingeniería,2000,Física
0954124763,Rosa,Pincay,Femenino,rossmpj@outlook.com,09866776565,1996-30-08,Guayaquil,Aprendizaje asegurado,Tercer nivel,4,Ingeniería en Computación,100,Computación
T125465709,Sandra,Fuentes,Femenino,saffw@hotmail.com,0635664376,1990-03-22,Guayaquil,Me gusta mucho enseñar tengo conocimientos variados en ciencias y matemáticas,Máster/Postgrado,10,Físico y filósofo,ASIG01,Ciencias Naturales
T125465709,Sandra,Fuentes,Femenino,saffw@hotmail.com,0635664376,1990-03-22,Guayaquil,Me gusta mucho enseñar tengo conocimientos variados en ciencias y matemáticas,Máster/Postgrado,10,Físico y matemático,ASIG03,Física
T175433246,Cesar,Sao,Masculino,trerfw@hotmail.com,0635664376,1990-03-22,Guayaquil,Enseñar es mi pasión soy muy bueno explicando en poco tiempo,Tercer nivel,5,Ingeniería en sistemas,ASIG10,Química
T034578101,Javier,Acebo,Masculino,tneis@hotmail.com,0139764376,1988-10-18,Manta,Tengo el don de enseñar y soy muy didáctico al momento de dar una explicación,Máster/Postgrado,3,Físico de partículas,ASIG02,Matemáticas
T034578101,Javier,Acebo,Masculino,tneis@hotmail.com,0139764376,1988-10-18,Manta,Tengo el don de enseñar y soy muy didáctico al momento de dar una explicación,Máster/Postgrado,3,Físico de partículas,ASIG03,Física
T784563984,Stefania,Morales,Femenino,stemf@hotmail.com,0335664376,1996-07-14,Esmeraldas,Soy doctora en Ciencias y me gustan las matemáticas,Máster/Postgrado,7,Máster en tratamiento estadístico y computacional de la información,ASIG09,Informática
T098784562,Douglas,Miranda,Masculino,dbancg@hotmail.com,0978664377,1960-06-02,Guayaquil,Me gusta mucho enseñar estoy dispuesto a ayudarte con tus dudas en cualquier momento,Grado en Educación Primaria,5,Maestro,ASIG05,Geometría
T784563984,Stefania,Morales,Femenino,stemf@hotmail.com,0335664376,1996-07-14,Esmeraldas,Soy doctora en Ciencias y me gustan las matemáticas,Máster/Postgrado,7,Máster en tratamiento estadístico y computacional de la información,ASIG04,Inglés
T784563984,Stefania,Morales,Femenino,stemf@hotmail.com,0335664376,1996-07-14,Esmeraldas,Soy doctora en Ciencias y me gustan las matemáticas,Máster/Postgrado,7,Máster en tratamiento estadístico y computacional de la información,ASIG06,Estadística
T098784562,Douglas,Miranda,Masculino,dbancg@hotmail.com,0978664377,1960-06-02,Guayaquil,Me gusta mucho enseñar estoy dispuesto a ayudarte con tus dudas en cualquier momento,Grado en Educación Primaria,5,Maestro,ASIG07,Biología
T125465709,Sandra,Fuentes,Femenino,saffw@hotmail.com,0635664376,1990-03-22,Guayaquil,Me gusta mucho enseñar tengo conocimientos variados en ciencias y matemáticas,Máster/Postgrado,10,Físico y matemático,ASIG08,Contabilidad
T125465709,Sandra,Fuentes,Femenino,saffw@hotmail.com,0635664376,1990-03-22,Guayaquil,Me gusta mucho enseñar tengo conocimientos variados en ciencias y matemáticas,Máster/Postgrado,10,Físico y filósofo,ASIG02,Matemáticas
T125465709,Sandra,Fuentes,Femenino,saffw@hotmail.com,0635664376,1990-03-22,Guayaquil,Me gusta mucho enseñar tengo conocimientos variados en ciencias y matemáticas,Máster/Postgrado,10,Físico y matemático,ASIG06,Estadística
T175433246,Cesar,Sao,Masculino,trerfw@hotmail.com,0635664376,1990-03-22,Guayaquil,Enseñar es mi pasión soy muy bueno explicando en poco tiempo,Tercer nivel,5,Ingeniería en sistemas,ASIG06,Estadística
T175433246,Cesar,Sao,Masculino,trerfw@hotmail.com,0635664376,1990-03-22,Guayaquil,Enseñar es mi pasión soy muy bueno explicando en poco tiempo,Tercer nivel,5,Ingeniería en sistemas,ASIG02,Matemáticas
T175433246,Cesar,Sao,Masculino,trerfw@hotmail.com,0635664376,1990-03-22,Guayaquil,Enseñar es mi pasión soy muy bueno explicando en poco tiempo,Tercer nivel,5,Ingeniería en sistemas,ASIG04,Inglés
T034578101,Javier,Acebo,Masculino,tneis@hotmail.com,0139764376,1988-10-18,Manta,Tengo el don de enseñar y soy muy didáctico al momento de dar una explicación,Máster/Postgrado,3,Físico de partículas,ASIG06,Estadística
T784563984,Stefania,Morales,Femenino,stemf@hotmail.com,0335664376,1996-07-14,Esmeraldas,Soy doctora en Ciencias y me gustan las matemáticas,Máster/Postgrado,7,Máster en tratamiento estadístico y computacional de la información,ASIG07,Biología
T098784562,Douglas,Miranda,Masculino,dbancg@hotmail.com,0978664377,1960-06-02,Guayaquil,Me gusta mucho enseñar estoy dispuesto a ayudarte con tus dudas en cualquier momento,Grado en Educación Primaria,5,Maestro,ASIG08,Contabilidad
T784563984,Stefania,Morales,Femenino,stemf@hotmail.com,0335664376,1996-07-14,Esmeraldas,Soy doctora en Ciencias y me gustan las matemáticas,Máster/Postgrado,7,Máster en tratamiento estadístico y computacional de la información,ASIG02,Matemáticas
T784563984,Stefania,Morales,Femenino,stemf@hotmail.com,0335664376,1996-07-14,Esmeraldas,Soy doctora en Ciencias y me gustan las matemáticas,Máster/Postgrado,7,Máster en tratamiento estadístico y computacional de la información,ASIG05,Geometría
T098784562,Douglas,Miranda,Masculino,dbancg@hotmail.com,0978664377,1960-06-02,Guayaquil,Me gusta mucho enseñar estoy dispuesto a ayudarte con tus dudas en cualquier momento,Grado en Educación Primaria,5,Maestro,ASIG02,Matemáticas
T125465709,Sandra,Fuentes,Femenino,saffw@hotmail.com,0635664376,1990-03-22,Guayaquil,Me gusta mucho enseñar tengo conocimientos variados en ciencias y matemáticas,Máster/Postgrado,10,Físico y matemático,ASIG05,Geometría
